sitename,Country or Area Name,Full Address,Latitude,Longitude,locationId,sensorId,country,sensorType,displayName,sensor_name,sensor_unit,lastUpdated,PROJECT_NAME,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,New Station,Parameter,Value,utcoff
Algiers,Algeria,Algiers Algeria ,36.755798,3.039114,7503.0,21747,DZ,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,508,587,5.9,36.75,3.125,U.S. Department of State Algeria - Algiers,012ALG010001,,,,
Tasmania Region,Australia,Hadspen,-41.503,147.067,5484.0,14462,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,195,1048,0.0,-41.503,147.067,,100001,,,,
Tasmania Region_2,Australia,Westbury,-41.53,146.835,5483.0,14461,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,195,1047,0.0,-41.53,146.835,,100002,,,,
Tasmania Region_3,Australia,Latrobe,-41.238,146.42,233316.0,1342446,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,196,1046,0.0,-41.238,146.42,,100003,,,,
Tasmania Region_4,Australia,Emu River,-41.108,145.883,5482.0,5079369,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,197,1044,0.0,-41.108,145.883,,100004,,,,
Tasmania Region_5,Australia,Longford,-41.595,147.122,5481.0,14458,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,195,1048,0.0,-41.595,147.122,,100005,,,,
Tasmania Region_6,Australia,West Ulverstone,-41.159,146.146,5491.0,14479,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,196,1045,0.0,-41.159,146.146,,100006,,,,
Tasmania Region_7,Australia,Smithton,-40.85,145.133,5488.0,14471,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,198,1041,0.0,-40.85,145.133,,100007,,,,
Tasmania Region_8,Australia,Wynyard,-40.992,145.718,5487.0,14470,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,197,1043,0.0,-40.992,145.718,,100008,,,,
Tasmania Region_9,Australia,Sheffield,-41.43,146.338,5486.0,14473,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,195,1045,0.0,-41.43,146.338,,100009,,,,
Tasmania Region_10,Australia,Deloraine,-41.523,146.658,5485.0,14466,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,195,1046,0.0,-41.523,146.658,,100010,,,,
Tasmania Region_11,Australia,Perth,-41.578,147.172,5490.0,14476,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,195,1048,0.0,-41.578,147.172,,100011,,,,
Tasmania Region_12,Australia,Devonport,-41.185,146.345,5480.0,14457,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,196,1045,0.0,-41.185,146.345,,100012,,,,
Tasmania Region_14,Australia,Scottsdale,-41.162,147.515,5478.0,14452,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,196,1049,0.0,-41.162,147.515,,100014,,,,
Tasmania Region_15,Australia,Queenstown,-42.081,145.553,233317.0,1342450,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,193,1043,0.0,-42.081,145.553,,100015,,,,
Tasmania Region_16,Australia,Fingal,-41.638,147.967,5474.0,14444,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,194,1050,0.0,-41.638,147.967,,100016,,,,
